,Number_of_Clusters,K_Means_Score
0,1,29649.99999999972
1,2,15229.201159782071
2,3,9289.477821826145
3,4,5728.610157823659
4,5,4270.248343793191
5,6,3050.8507091854544
6,7,2465.4495403721867
7,8,1934.3265744767973
8,9,1517.4310384730338
9,10,1239.2614134459723
10,11,1051.2848662226677
11,12,916.4064941196355
12,13,791.607456565377
13,14,676.7911116318669
14,15,603.9552096377283
15,16,526.3442617182708
16,17,459.9863081878583
17,18,425.45424200392307
18,19,380.88977377936607
