,Number_of_Clusters,K_Means_Score
0,1,29650.00000000003
1,2,16451.79871700314
2,3,10690.375707393356
3,4,8554.243341977904
4,5,6829.306503196123
5,6,5846.67248297725
6,7,4990.06184605609
7,8,4392.3564206003275
8,9,3918.1866954161587
9,10,3537.733989352351
10,11,3175.496266934016
11,12,2897.7990728531913
12,13,2682.450288296281
13,14,2484.5370030310314
14,15,2308.231822326073
15,16,2157.949147310365
16,17,2018.591636647932
17,18,1909.8024914536236
18,19,1813.6857685950818
